Date and Time,eventtype,accumulationcount
"11/19/2020, 10:17:38 AM",SUPERVISORY,0
"11/19/2020, 9:16:20 AM",LINK_QUALITY,
"11/19/2020, 9:16:15 AM",DOWNLINK_ACK,
"11/19/2020, 9:16:14 AM",SUPERVISORY,0
"11/18/2020, 10:01:39 PM",LINK_QUALITY,
"11/18/2020, 10:01:34 PM",DOWNLINK_ACK,
"11/18/2020, 10:01:33 PM",SUPERVISORY,0
"11/18/2020, 9:46:08 PM",SUPERVISORY,1
"11/18/2020, 9:30:43 PM",SUPERVISORY,0
"11/18/2020, 9:15:17 PM",SUPERVISORY,0
"11/18/2020, 8:59:53 PM",SUPERVISORY,0
"11/18/2020, 8:44:27 PM",SUPERVISORY,0
"11/18/2020, 8:29:02 PM",SUPERVISORY,0
"11/18/2020, 8:13:36 PM",SUPERVISORY,0
"11/18/2020, 7:58:11 PM",SUPERVISORY,0
"11/18/2020, 7:42:45 PM",SUPERVISORY,0
"11/18/2020, 7:27:20 PM",SUPERVISORY,0
"11/18/2020, 7:11:54 PM",SUPERVISORY,0
"11/18/2020, 6:56:28 PM",SUPERVISORY,0
"11/18/2020, 6:41:04 PM",SUPERVISORY,0
"11/18/2020, 6:25:38 PM",SUPERVISORY,0
"11/18/2020, 6:10:12 PM",SUPERVISORY,0
"11/18/2020, 5:54:47 PM",SUPERVISORY,2
"11/18/2020, 5:39:31 PM",SUPERVISORY,0
"11/18/2020, 5:28:53 PM",TAMPER,
"11/18/2020, 5:23:56 PM",SUPERVISORY,0
"11/18/2020, 5:08:31 PM",SUPERVISORY,0
"11/18/2020, 4:53:06 PM",SUPERVISORY,0
"11/18/2020, 4:37:39 PM",SUPERVISORY,0
"11/18/2020, 4:22:14 PM",SUPERVISORY,0
"11/18/2020, 4:06:49 PM",SUPERVISORY,11
"11/18/2020, 3:51:24 PM",SUPERVISORY,0
"11/18/2020, 3:35:58 PM",SUPERVISORY,0
"11/18/2020, 3:20:33 PM",SUPERVISORY,0
"11/18/2020, 3:05:07 PM",SUPERVISORY,0
"11/18/2020, 2:49:40 PM",SUPERVISORY,0
"11/18/2020, 2:34:14 PM",SUPERVISORY,0
"11/18/2020, 2:19:40 PM",TAMPER,
"11/18/2020, 2:18:49 PM",SUPERVISORY,0
"11/18/2020, 2:03:23 PM",SUPERVISORY,0
"11/18/2020, 1:47:57 PM",SUPERVISORY,5
"11/18/2020, 1:32:30 PM",SUPERVISORY,1
"11/18/2020, 1:24:06 PM",TAMPER,
"11/18/2020, 1:17:05 PM",SUPERVISORY,0
"11/18/2020, 1:01:38 PM",SUPERVISORY,0
"11/18/2020, 12:46:12 PM",SUPERVISORY,0
"11/18/2020, 12:30:53 PM",LINK_QUALITY,
"11/18/2020, 12:30:47 PM",DOWNLINK_ACK,
"11/18/2020, 12:30:46 PM",SUPERVISORY,0
"11/18/2020, 12:29:45 PM",SUPERVISORY,2
"11/18/2020, 12:28:43 PM",SUPERVISORY,0
"11/18/2020, 12:27:42 PM",SUPERVISORY,0
"11/18/2020, 12:26:41 PM",SUPERVISORY,0
"11/18/2020, 12:25:41 PM",SUPERVISORY,0
"11/18/2020, 12:24:39 PM",SUPERVISORY,0
"11/18/2020, 12:23:39 PM",SUPERVISORY,0
"11/18/2020, 12:22:38 PM",SUPERVISORY,0
"11/18/2020, 12:21:37 PM",SUPERVISORY,0
"11/18/2020, 12:20:35 PM",SUPERVISORY,6
"11/18/2020, 12:19:47 PM",TAMPER,
"11/18/2020, 12:19:41 PM",TAMPER,
"11/18/2020, 12:19:36 PM",SUPERVISORY,0
"11/18/2020, 12:18:35 PM",SUPERVISORY,0
"11/18/2020, 12:17:34 PM",SUPERVISORY,0
"11/18/2020, 12:16:39 PM",TAMPER,
"11/18/2020, 12:16:34 PM",SUPERVISORY,0
"11/18/2020, 12:15:33 PM",SUPERVISORY,0
"11/18/2020, 12:14:31 PM",SUPERVISORY,4
"11/18/2020, 12:13:31 PM",SUPERVISORY,0
"11/18/2020, 12:12:31 PM",SUPERVISORY,0
"11/18/2020, 12:11:30 PM",SUPERVISORY,0
"11/18/2020, 12:10:28 PM",SUPERVISORY,5
"11/18/2020, 12:09:26 PM",SUPERVISORY,1
"11/18/2020, 12:09:06 PM",TAMPER,
"11/18/2020, 12:08:28 PM",SUPERVISORY,0
"11/18/2020, 12:07:25 PM",SUPERVISORY,0
"11/18/2020, 12:07:05 PM",TAMPER,
"11/18/2020, 12:06:25 PM",SUPERVISORY,7
"11/18/2020, 12:05:25 PM",SUPERVISORY,0
"11/18/2020, 12:04:23 PM",SUPERVISORY,0
"11/18/2020, 12:03:22 PM",SUPERVISORY,0
"11/18/2020, 12:02:21 PM",SUPERVISORY,2
"11/18/2020, 12:01:20 PM",SUPERVISORY,0
"11/18/2020, 12:00:25 PM",SUPERVISORY,0
"11/18/2020, 11:59:18 AM",SUPERVISORY,0
"11/18/2020, 11:58:17 AM",SUPERVISORY,0
"11/18/2020, 11:57:16 AM",SUPERVISORY,9
"11/18/2020, 11:56:15 AM",SUPERVISORY,2
"11/18/2020, 11:55:15 AM",SUPERVISORY,11
"11/18/2020, 11:54:13 AM",SUPERVISORY,3
"11/18/2020, 11:54:03 AM",LINK_QUALITY,
"11/18/2020, 11:53:57 AM",DOWNLINK_ACK,
"11/18/2020, 11:53:56 AM",CONTACT,
"11/18/2020, 11:53:42 AM",CONTACT,
"11/18/2020, 11:53:15 AM",SUPERVISORY,6
"11/18/2020, 11:53:03 AM",CONTACT,
"11/18/2020, 11:52:57 AM",CONTACT,
"11/18/2020, 11:52:52 AM",CONTACT,
"11/18/2020, 11:52:46 AM",CONTACT,
"11/18/2020, 11:52:40 AM",CONTACT,
"11/18/2020, 11:52:29 AM",CONTACT,
"11/18/2020, 11:52:23 AM",SUPERVISORY,54
"11/18/2020, 11:52:18 AM",CONTACT,
"11/18/2020, 11:52:08 AM",CONTACT,
"11/18/2020, 11:51:25 AM",LINK_QUALITY,
"11/18/2020, 11:51:20 AM",DOWNLINK_ACK,
"11/18/2020, 11:51:18 AM",CONTACT,
"11/18/2020, 11:50:59 AM",CONTACT,
"11/18/2020, 11:48:57 AM",CONTACT,
"11/18/2020, 11:48:40 AM",CONTACT,
"11/18/2020, 11:48:32 AM",CONTACT,
"11/18/2020, 11:48:11 AM",CONTACT,
"11/18/2020, 11:47:59 AM",CONTACT,
"11/18/2020, 11:47:46 AM",CONTACT,
"11/18/2020, 11:46:47 AM",CONTACT,
"11/18/2020, 11:45:27 AM",CONTACT,
